date,open,high,low,close,volume
2022-08-09,4.07,4.07,4.04,4.04,272354
2022-08-10,4.04,4.1,4.02,4.04,319987
2022-08-11,4.07,4.2,4.06,4.18,1110131
2022-08-12,4.15,4.21,4.14,4.19,796691
2022-08-15,4.18,4.2,4.15,4.16,433377
2022-08-16,4.18,4.21,4.16,4.18,351229
2022-08-17,4.19,4.25,4.16,4.24,642329
2022-08-18,4.23,4.23,4.17,4.18,389016
2022-08-19,4.18,4.22,4.17,4.19,405103
2022-08-22,4.17,4.21,4.16,4.17,369393
2022-08-23,4.17,4.24,4.16,4.18,493819
2022-08-24,4.18,4.25,4.13,4.14,631106
2022-08-25,4.16,4.22,4.13,4.2,530364
2022-08-26,4.21,4.22,4.16,4.17,376832
2022-08-29,4.14,4.17,4.13,4.14,378845
2022-08-30,4.14,4.18,4.11,4.15,421743
2022-08-31,4.15,4.2,4.13,4.18,766968
2022-09-01,4.18,4.22,4.15,4.2,614294
2022-09-02,4.2,4.22,4.14,4.16,487187
2022-09-05,4.15,4.25,4.14,4.24,574432
2022-09-06,4.25,4.27,4.23,4.26,645959
2022-09-07,4.25,4.25,4.22,4.24,378969
2022-09-08,4.24,4.25,4.21,4.23,342922
2022-09-09,4.23,4.3,4.22,4.27,632188
2022-09-13,4.28,4.29,4.24,4.25,494194
2022-09-14,4.2,4.22,4.18,4.2,492800
2022-09-15,4.2,4.23,4.15,4.18,544402
2022-09-16,4.17,4.17,4.0,4.01,1002557
2022-09-19,4.03,4.05,3.99,4.0,401589
2022-09-20,4.01,4.05,4.0,4.01,297442
2022-09-21,4.0,4.03,3.96,4.0,430332
2022-09-22,3.98,4.02,3.98,4.01,284261
2022-09-23,4.0,4.05,3.99,4.02,398830
2022-09-26,4.0,4.02,3.92,3.92,457571
2022-09-27,3.93,3.96,3.91,3.95,290109
2022-09-28,3.95,3.95,3.9,3.91,301889
2022-09-29,3.94,3.95,3.81,3.85,533060
2022-09-30,3.84,3.88,3.83,3.86,332777
2022-10-10,3.86,3.89,3.82,3.82,351645
2022-10-11,3.83,3.91,3.82,3.88,339908
2022-10-12,3.86,3.95,3.86,3.94,430805
2022-10-13,3.93,3.97,3.91,3.96,337461
2022-10-14,3.97,4.0,3.96,3.97,377585
2022-10-17,3.95,3.98,3.93,3.97,309250
2022-10-18,3.98,3.99,3.94,3.95,312146
2022-10-19,3.94,3.96,3.91,3.92,222753
2022-10-20,3.91,3.98,3.9,3.95,304745
2022-10-21,4.04,4.06,3.95,3.96,461836
2022-10-24,3.97,4.03,3.89,3.91,518741
2022-10-25,3.91,3.97,3.86,3.93,400812
2022-10-26,3.93,3.99,3.92,3.94,402765
2022-10-27,3.94,3.97,3.92,3.94,321576
2022-10-28,3.93,3.95,3.87,3.88,484323
2022-10-31,3.89,3.94,3.87,3.89,405402
2022-11-01,3.9,3.99,3.89,3.98,488416
2022-11-02,3.98,4.01,3.97,3.99,383591
2022-11-03,3.96,3.98,3.95,3.97,243157
2022-11-04,3.97,4.05,3.96,4.03,577870
2022-11-07,4.02,4.08,4.0,4.05,481388
2022-11-08,4.04,4.06,4.0,4.02,308937
2022-11-09,4.02,4.03,3.99,4.0,238047
2022-11-10,3.99,4.03,3.97,4.01,277123
2022-11-11,4.07,4.11,4.03,4.07,760638
2022-11-14,4.08,4.14,4.07,4.08,742970
2022-11-15,4.07,4.22,4.05,4.18,1222620
2022-11-16,4.16,4.17,4.12,4.12,566980
2022-11-17,4.11,4.14,4.09,4.14,496353
2022-11-18,4.14,4.14,4.08,4.08,432005
2022-11-21,4.07,4.09,4.04,4.06,345954
2022-11-22,4.05,4.11,4.04,4.08,446037
2022-11-23,4.07,4.12,4.07,4.1,408138
2022-11-24,4.1,4.12,4.06,4.07,354985
2022-11-25,4.05,4.12,4.05,4.1,457722
2022-11-28,4.06,4.07,4.01,4.05,450257
2022-11-29,4.05,4.18,4.05,4.15,857786
2022-11-30,4.15,4.18,4.13,4.13,555023
2022-12-01,4.17,4.22,4.12,4.13,897815
2022-12-02,4.13,4.15,4.11,4.12,466815
2022-12-05,4.15,4.22,4.14,4.21,925446
2022-12-06,4.2,4.23,4.18,4.19,579254
2022-12-07,4.19,4.21,4.14,4.17,579860
2022-12-08,4.16,4.18,4.14,4.15,367124
